LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,PISAMATH,BOY,MEANSCORE,A,2015,497,
AUS,PISAMATH,GIRL,MEANSCORE,A,2015,491,
AUT,PISAMATH,BOY,MEANSCORE,A,2015,510,
AUT,PISAMATH,GIRL,MEANSCORE,A,2015,483,
BEL,PISAMATH,BOY,MEANSCORE,A,2015,514,
BEL,PISAMATH,GIRL,MEANSCORE,A,2015,500,
CAN,PISAMATH,BOY,MEANSCORE,A,2015,520,
CAN,PISAMATH,GIRL,MEANSCORE,A,2015,511,
CZE,PISAMATH,BOY,MEANSCORE,A,2015,496,
CZE,PISAMATH,GIRL,MEANSCORE,A,2015,489,
DNK,PISAMATH,BOY,MEANSCORE,A,2015,516,
DNK,PISAMATH,GIRL,MEANSCORE,A,2015,506,
FIN,PISAMATH,BOY,MEANSCORE,A,2015,507,
FIN,PISAMATH,GIRL,MEANSCORE,A,2015,515,
FRA,PISAMATH,BOY,MEANSCORE,A,2015,496,
FRA,PISAMATH,GIRL,MEANSCORE,A,2015,490,
DEU,PISAMATH,BOY,MEANSCORE,A,2015,514,
DEU,PISAMATH,GIRL,MEANSCORE,A,2015,498,
GRC,PISAMATH,BOY,MEANSCORE,A,2015,454,
GRC,PISAMATH,GIRL,MEANSCORE,A,2015,454,
HUN,PISAMATH,BOY,MEANSCORE,A,2015,481,
HUN,PISAMATH,GIRL,MEANSCORE,A,2015,473,
ISL,PISAMATH,BOY,MEANSCORE,A,2015,487,
ISL,PISAMATH,GIRL,MEANSCORE,A,2015,489,
IRL,PISAMATH,BOY,MEANSCORE,A,2015,512,
IRL,PISAMATH,GIRL,MEANSCORE,A,2015,495,
ITA,PISAMATH,BOY,MEANSCORE,A,2015,500,
ITA,PISAMATH,GIRL,MEANSCORE,A,2015,480,
JPN,PISAMATH,BOY,MEANSCORE,A,2015,539,
JPN,PISAMATH,GIRL,MEANSCORE,A,2015,525,
KOR,PISAMATH,BOY,MEANSCORE,A,2015,521,
KOR,PISAMATH,GIRL,MEANSCORE,A,2015,528,
LUX,PISAMATH,BOY,MEANSCORE,A,2015,491,
LUX,PISAMATH,GIRL,MEANSCORE,A,2015,480,
MEX,PISAMATH,BOY,MEANSCORE,A,2015,412,
MEX,PISAMATH,GIRL,MEANSCORE,A,2015,404,
NLD,PISAMATH,BOY,MEANSCORE,A,2015,513,
NLD,PISAMATH,GIRL,MEANSCORE,A,2015,511,
NZL,PISAMATH,BOY,MEANSCORE,A,2015,499,
NZL,PISAMATH,GIRL,MEANSCORE,A,2015,491,
NOR,PISAMATH,BOY,MEANSCORE,A,2015,501,
NOR,PISAMATH,GIRL,MEANSCORE,A,2015,503,
POL,PISAMATH,BOY,MEANSCORE,A,2015,510,
